Guloso
Instancias	Pontuação	Tempo (s)
100-1	-40	0.000005
100-2	-13	0.000003
100-3	-28	0.000005
100-4	-37	0.000002
100-5	-4	0.000005
500-1	-122	0.000009
500-2	-119	0.000010
500-3	-149	0.000010
500-4	-161	0.000009
500-5	-95	0.000007
1000-1	-340	0.000014
1000-2	-274	0.000017
1000-3	-283	0.000014
1000-4	-277	0.000017
1000-5	-235	0.000016
5000-1	-1271	0.000080
5000-2	-1208	0.000086
5000-3	-1253	0.000076
5000-4	-1247	0.000080
5000-5	-1286	0.000092
10000-1	-2758	0.000155
10000-2	-2572	0.000141
10000-3	-2518	0.000138
10000-4	-2347	0.000134
10000-5	-2434	0.000142

Programação Dinamica
Instancias	Pontuação	Tempo
100-1	32	0.000372
100-2	38	0.000378
100-3	35	0.000384
100-4	32	0.000436
100-5	41	0.000444
500-1	205	0.008999
500-2	196	0.007217
500-3	187	0.007156
500-4	199	0.007065
500-5	196	0.006232
1000-1	395	0.018961
1000-2	410	0.019697
1000-3	446	0.017405
1000-4	389	0.018402
1000-5	401	0.019144
5000-1	2155	0.301028
5000-2	2149	0.300926
5000-3	2200	0.294101
5000-4	2212	0.309514
5000-5	2155	0.297698
10000-1	4421	1.219503
10000-2	4436	1.234153
10000-3	4451	1.244449
10000-4	4475	1.235890
10000-5	4433	1.254581
